"STATISTIC","Year","Sex","UNIT","VALUE"
"Births by Occurrence","1976","Both sexes","Number","67718"
"Births by Occurrence","1976","Male","Number","34849"
"Births by Occurrence","1976","Female","Number","32869"
"Births by Occurrence","1977","Both sexes","Number","68892"
"Births by Occurrence","1977","Male","Number","35518"
"Births by Occurrence","1977","Female","Number","33374"
"Births by Occurrence","1978","Both sexes","Number","70299"
"Births by Occurrence","1978","Male","Number","35766"
"Births by Occurrence","1978","Female","Number","34533"
"Births by Occurrence","1979","Both sexes","Number","72539"
"Births by Occurrence","1979","Male","Number","37355"
"Births by Occurrence","1979","Female","Number","35184"
"Births by Occurrence","1980","Both sexes","Number","74064"
"Births by Occurrence","1980","Male","Number","38267"
"Births by Occurrence","1980","Female","Number","35797"
"Births by Occurrence","1981","Both sexes","Number","72158"
"Births by Occurrence","1981","Male","Number","37075"
"Births by Occurrence","1981","Female","Number","35083"
"Births by Occurrence","1982","Both sexes","Number","70843"
"Births by Occurrence","1982","Male","Number","36256"
"Births by Occurrence","1982","Female","Number","34587"
"Births by Occurrence","1983","Both sexes","Number","67117"
"Births by Occurrence","1983","Male","Number","34642"
"Births by Occurrence","1983","Female","Number","32475"
"Births by Occurrence","1984","Both sexes","Number","64062"
"Births by Occurrence","1984","Male","Number","33222"
"Births by Occurrence","1984","Female","Number","30840"
"Births by Occurrence","1985","Both sexes","Number","62388"
"Births by Occurrence","1985","Male","Number","32068"
"Births by Occurrence","1985","Female","Number","30320"
"Births by Occurrence","1986","Both sexes","Number","61620"
"Births by Occurrence","1986","Male","Number","31875"
"Births by Occurrence","1986","Female","Number","29745"
"Births by Occurrence","1987","Both sexes","Number","58433"
"Births by Occurrence","1987","Male","Number","29931"
"Births by Occurrence","1987","Female","Number","28502"
"Births by Occurrence","1988","Both sexes","Number","54600"
"Births by Occurrence","1988","Male","Number","28083"
"Births by Occurrence","1988","Female","Number","26517"
"Births by Occurrence","1989","Both sexes","Number","52018"
"Births by Occurrence","1989","Male","Number","26754"
"Births by Occurrence","1989","Female","Number","25264"
"Births by Occurrence","1990","Both sexes","Number","53044"
"Births by Occurrence","1990","Male","Number","27559"
"Births by Occurrence","1990","Female","Number","25485"
"Births by Occurrence","1991","Both sexes","Number","52718"
"Births by Occurrence","1991","Male","Number","27122"
"Births by Occurrence","1991","Female","Number","25596"
"Births by Occurrence","1992","Both sexes","Number","51089"
"Births by Occurrence","1992","Male","Number","26307"
"Births by Occurrence","1992","Female","Number","24782"
"Births by Occurrence","1993","Both sexes","Number","49304"
"Births by Occurrence","1993","Male","Number","25359"
"Births by Occurrence","1993","Female","Number","23945"
"Births by Occurrence","1994","Both sexes","Number","48255"
"Births by Occurrence","1994","Male","Number","24957"
"Births by Occurrence","1994","Female","Number","23298"
"Births by Occurrence","1995","Both sexes","Number","48787"
"Births by Occurrence","1995","Male","Number","25153"
"Births by Occurrence","1995","Female","Number","23634"
"Births by Occurrence","1996","Both sexes","Number","50655"
"Births by Occurrence","1996","Male","Number","26350"
"Births by Occurrence","1996","Female","Number","24305"
"Births by Occurrence","1997","Both sexes","Number","52775"
"Births by Occurrence","1997","Male","Number","27061"
"Births by Occurrence","1997","Female","Number","25714"
"Births by Occurrence","1998","Both sexes","Number","53969"
"Births by Occurrence","1998","Male","Number","27848"
"Births by Occurrence","1998","Female","Number","26121"
"Births by Occurrence","1999","Both sexes","Number","53924"
"Births by Occurrence","1999","Male","Number","27817"
"Births by Occurrence","1999","Female","Number","26107"
"Births by Occurrence","2000","Both sexes","Number","54789"
"Births by Occurrence","2000","Male","Number","28175"
"Births by Occurrence","2000","Female","Number","26614"
"Births by Occurrence","2001","Both sexes","Number","57854"
"Births by Occurrence","2001","Male","Number","29684"
"Births by Occurrence","2001","Female","Number","28170"
"Births by Occurrence","2002","Both sexes","Number","60503"
"Births by Occurrence","2002","Male","Number","31013"
"Births by Occurrence","2002","Female","Number","29490"
"Births by Occurrence","2003","Both sexes","Number","61529"
"Births by Occurrence","2003","Male","Number","31455"
"Births by Occurrence","2003","Female","Number","30074"
"Births by Occurrence","2004","Both sexes","Number","61972"
"Births by Occurrence","2004","Male","Number","31966"
"Births by Occurrence","2004","Female","Number","30006"
"Births by Occurrence","2005","Both sexes","Number","61372"
"Births by Occurrence","2005","Male","Number","31489"
"Births by Occurrence","2005","Female","Number","29883"
"Births by Occurrence","2006","Both sexes","Number","65425"
"Births by Occurrence","2006","Male","Number","33655"
"Births by Occurrence","2006","Female","Number","31770"
"Births by Occurrence","2007","Both sexes","Number","71389"
"Births by Occurrence","2007","Male","Number","36487"
"Births by Occurrence","2007","Female","Number","34902"
"Births by Occurrence","2008","Both sexes","Number","75173"
"Births by Occurrence","2008","Male","Number","38619"
"Births by Occurrence","2008","Female","Number","36554"
"Births by Occurrence","2009","Both sexes","Number","75554"
"Births by Occurrence","2009","Male","Number","38682"
"Births by Occurrence","2009","Female","Number","36872"
"Births by Occurrence","2010","Both sexes","Number","75174"
"Births by Occurrence","2010","Male","Number","38395"
"Births by Occurrence","2010","Female","Number","36779"
"Births by Occurrence","2011","Both sexes","Number","74033"
"Births by Occurrence","2011","Male","Number","37898"
"Births by Occurrence","2011","Female","Number","36135"
"Births by Occurrence","2012","Both sexes","Number","71674"
"Births by Occurrence","2012","Male","Number","36890"
"Births by Occurrence","2012","Female","Number","34784"
"Births by Occurrence","2013","Both sexes","Number","68954"
"Births by Occurrence","2013","Male","Number","35340"
"Births by Occurrence","2013","Female","Number","33614"
"Births by Occurrence","2014","Both sexes","Number","67295"
"Births by Occurrence","2014","Male","Number","34681"
